DATE,Amount refilled,Volume of fuel(lit.),Meter reading(KM),Mileage(per lit.),Range(per Rs.100),Bunk company,Bunk location,Mileage Standard Deviation,Economy Standard Deviation
1,220,2.05,7381.7,31.37,29.23,HP,Yamjal,-10.95,-10.2
2,220,2.05,7446.0,51.8,48.27,HP,Yamjal,9.48,8.84
3,220,2.05,7552.2,32.54,30.32,HP,Yamjal,-9.78,-9.11
4,220,2.05,7618.9,34.34,32.0,HP,Yamjal,-7.98,-7.43
5,220,2.05,7689.3,44.88,41.82,HP,Yamjal,2.56,2.39
6,220,2.05,7781.3,42.05,39.18,HP,Yamjal,-0.27,-0.25
7,220,2.05,7867.5,47.71,44.45,HP,Yamjal,5.39,5.02
8,220,2.05,7965.3,47.95,44.68,HP,Yamjal,5.63,5.25
9,220,2.05,8063.6,48.24,22.48,HP,Yamjal,5.92,-16.95
10,440,2.05,8162.5,0.0,0.0,HP,Yamjal,0.0,0.0
